city,contribution amount,degree level,division professional school,facility code,number of students,state,campus,date agreement received,year of yr participation
Annapolis,99999,Undergraduate,All,31000920,99999,MD,,02/04/2012,NULL
Annapolis,99999,Graduate,All,31000920,99999,MD,,,NULL
Annapolis,99999,Graduate,All,31000920,99999,MD,,02/04/2012,NULL
Santa Fe,99999,Graduate,All,31003531,99999,NM,,,NULL
Santa Fe,99999,Undergraduate,All,31003531,99999,NM,,,NULL
Queens,30000,All,All,31908132,99999,NY,Manhattan Campus,,NULL
Queens,30000,All,All,31850732,99999,NY,Queen's Campus,,NULL
Queens,30000,All,All,31814032,99999,NY,Staten Island,,NULL
Queens,50000,All,All,31368532,99999,NY,School of Law,,NULL
Patchogue,99999,Undergraduate,All,31882132,450,NY,NULL,,2016/2017
Patchogue,99999,Graduate,All,31882132,150,NY,NULL,,2016/2017
Brooklyn,99999,Undergraduate,All,31883132,450,NY,NULL,,2016/2017
Brooklyn,99999,Graduate,All,31883132,150,NY,NULL,,2016/2017
Canton,2500,Undergraduate,Undergraduate,31311432,15,NY,NULL,,NULL
Fenton,2000,Undergraduate,All,24944025,99999,MO,,,NULL
Saratog Springs,10000,All,All,31811132,8,NY,NULL,,NULL
Northampton,10000,Undergraduate,All,31002321,12,MA,NULL,,2017/2018
Northampton,10000,Graduate,All,31002321,1,MA,NULL,,2017/2018
Northampton,5000,Graduate,School of Social Work,31002321,1,MA,NULL,,2017/2018
Zarephath,1000,Undergraduate,All,34004030,25,NJ,NULL,07/05/2012,NULL
Asheville,99999,Undergraduate,All,24905433,99999,NC,Asheville,05/04/2012,NULL
Knoxville,99999,All,All,21902142,2000,TN,Knoxville,01/05/2012,NULL
Houston,5000,Graduate,College of Law,31011043,99999,TX,NULL,,NULL
Savannah,99999,Undergraduate,All,21000411,99999,GA,Savannah,,NULL
Savannah,99999,Graduate,All,21000411,99999,GA,Savannah,,NULL
Savannah,2039,Doctoral,All,21000411,99999,GA,Savannah,,NULL
Columbia,99999,Graduate,All,21025440,99999,SC,Columbia,,NULL
Royal Palm Beach,99999,Undergraduate,All,21057510,99999,FL,West Palm Beach,,NULL
Royal Palm Beach,99999,Graduate,All,21057510,99999,FL,West Palm Beach,,NULL
Tampa,99999,Graduate,All,21061010,99999,FL,Tampa,,NULL
Tampa,99999,Undergraduate,All,21061010,99999,FL,Tampa,,NULL
Novi,99999,Undergraduate,All,21100022,99999,MI,Novi,,NULL
Glen Alen,99999,Graduate,All,21955146,99999,VA,Richmond,,NULL
Novi,99999,Graduate,All,21100022,99999,MI,Novi,,NULL
Glen Allen,99999,Undergraduate,All,21955146,99999,VA,Richmond,,NULL
Glen Allen,99999,Undergraduate,All,31955146,99999,VA,Richmond,,NULL
Glen Allen,99999,Undergraduate(School of Computer Info Science),School of Computer Info Science,21013846,99999,VA,Glen Allen Campus,09/04/2012,NULL
Glen Allen,99999,Undergraduate(School of Culinary Art and Hospitality Mgt),School of Culinary Art and Hospitality Mgt,21013846,99999,VA,Glen Allen Campus,09/04/2012,NULL
Glen Allen,99999,Undergraduate(School of Business Admin),School of Business Admin,21013846,99999,VA,Glen Allen Campus,09/04/2012,NULL
Glen Allen,99999,Undergraduate(School of Health Science),School of Health Science,21013846,99999,VA,Glen Allen Campus,09/04/2012,NULL
Glen Allen,99999,Undergraduate(School of Art Science),School of Art Science,21013846,99999,VA,Glen Allen Campus,09/04/2012,NULL
Glen Allen,99999,Graduate,All,21013846,99999,VA,Glen Allen Campus,09/04/2012,NULL
Falls Church,99999,Undergraduate (School of Computer Information System),School of Computer Information System,21803146,99999,VA,Falls Church,09/04/2012,NULL
Falls Church,99999,Undergraduate (School of Culinary Arts & Hospitality),School of Culinary Arts & Hospitality,21803146,99999,VA,Falls Church,09/04/2012,NULL
Falls Church,99999,Undergraduate (School of Business Admin),School of Business Admin,21803146,99999,VA,Falls Church,09/04/2012,NULL
Falls Church,99999,Undergraduate (School of Health Science),School of Health Science,21803146,99999,VA,Falls Church,09/04/2012,NULL
Falls Church,99999,Undergraduate (School of Arts & Science),School of Arts & Science,21803146,99999,VA,Falls Church,09/04/2012,NULL
Falls Church,99999,Graduate,All,21803146,99999,VA,Falls Church,09/04/2012,NULL
Seattle,5000,"Doctoral, School of Law",School of Law,31808147,,,,
Selma,99999,All,All,31955101,7,AL,,,NULL
Selma,99999,All,All,31955101,7,AL,,,
South Orange,10225.5,Undergraduate,All,31805030,99999,NJ,NULL,,2018/2019
South Orange,1203,Graduate,All,31805030,99999,NJ,NULL,,2018/2019
Newark,15000,Graduate,Law School,31805230,99999,NJ,Newark,03/05/2012,NULL
Greensburg,10000,Undergraduate,All,31903738,99999,PA,NULL,06/04/2012,2016/2017
Winchester,5000,Undergraduate,All,31907146,55,VA,,03/05/2012,NULL
Winchester,3000,Graduate/ Doctoral/1st Prof,School of Health Prof,31907146,15,VA,NULL,03/05/2012,NULL
Shepherdstown,99999,Graduate,All,11002248,99999,WV,,,
Shepherdstown,99999,Undergraduate,All,11002248,99999,WV,,,
Spartanburg,8000,All,All,31950440,10,SC,,01/05/2012,NULL
Chicago,13000,Undergraduate,All,31908113,99999,IL,NULL,10/05/2012,NULL
Shoreline,99999,All,All,14913447,100,WA,Shoreline,,NULL
Rome,1000,Graduate,All,31842111,20,GA,NULL,03/05/2012,NULL
Rome,1000,Undergraduate,All,31842111,130,GA,NULL,03/05/2012,NULL
Atlanta,1000,Undergraduate,All,31842211,140,GA,,,
Atlanta,1000,Graduate,All,31842211,10,GA,,,
Loudonville,2500,All,All,31911132,10,NY,,,NULL
Incline Villages,5500,Graduate (Master of Education Degree/Master of Education Degree),MAT/MED/MFA,31809028,25,NV,NULL,04/05/2012,NULL
Incline Villages,13392,Undergraduate (Bachelors),Bachelors,31809028,25,NV,NULL,04/05/2012,NULL
Manitowoc,2500,Undergraduate,All,31002049,15,WI,Manitowoc,,NULL
Manitowoc,1000,Graduate,All,31002049,5,WI,NULL,,NULL
Boston,10000,Undergraduate,All,31002221,20,MA,NULL,,2019/2020
Boston,5000,Graduate,All,31002221,20,MA,NULL,,2019/2020
Indianola,99999,Undergraduate,All,31001715,99999,IA,,04/04/2012,NULL
Indianola,99999,Graduate,All,31001715,99999,IA,,04/04/2012,NULL
Redding,2500,Graduate,Seminary,31968105,20,CA,NULL,,2019/2020
Redding,2500,Graduate,School of Education,31968105,20,CA,NULL,,2019/2020
Redding,5000,Undergraduate,Simpson University,31968105,100,CA,NULL,,2019/2020
Sioux Falls,3000,Graduate,Professional School,31001241,10,SD,,06/04/2012,NULL
Glen Allen,99999,Graduate,All,31955146,99999,VA,Richmond,,NULL
Austin,99999,Undergraduate,All,21042743,99999,TX,Austin,,NULL
Austin,99999,Graduate,All,21042743,99999,TX,Austin,,NULL
Columbia,99999,Undergraduate,All,24025440,99999,SC,Columbia,,NULL
Columbia,2039,Doctoral,All,24025440,99999,SC,Columbia,,NULL
Montgomery,99999,Undergraduate,All,24004301,99999,AL,Montgomery,08/05/2012,NULL
Virginia Beach,99999,Undergraduate,All,21955246,99999,VA,Virginia Beach,,NULL
Virginia Beach,99999,Graduate,All,21955246,99999,VA,Virginia Beach,,NULL
Bristol,99999,Undergraduate,All,24055946,99999,VA,Bristol,,NULL
Birmingham,1500,Undergraduate,All,31001301,10,AL,,,NULL
Lakeland,2400,Undergraduate,All,31001910,15,FL,NULL,,NULL
Collegedale,6000,All,All,31003242,99999,TN,NULL,10/05/2012,NULL
Magnolia,99999,All,All,11831004,99999,AR,NULL,,NULL
El Cajon,99999,All,All,31509005,99999,CA,NULL,,NULL
Whittier,85000,Doctoral (Los Angeles College of Chiropractic),College of Chiropractic,31601405,7,CA,Whittier,,NULL
New Haven,11032,All,All,13000307,50,CT,NULL,04/05/2012,NULL
Carbondale,4221,Graduate,All,11983113,10,IL,,,
Dallas,7500,Graduate (Cox School of Business),Cox School of Business,319G4143,99999,TX,NULL,,2018/2019
Dallas,7700,Graduate (Dedman School of Law),Dedman School of Law,319G4143,10,TX,NULL,,2018/2019
Dallas,99999,All (Meadows School of Arts),Meadows School of Arts,319G4143,99999,TX,NULL,08/05/2018,2018/2019
Dallas,99999,Graduate (Dedman College),Dedman College,319G4143,5,TX,NULL,08/05/2018,2018/2019
Dallas,99999,Graduate (Perkins School of Theology),Perkins School of Theology,319G4143,10,TX,NULL,08/05/2018,2018/2019
Dallas,7500,Graduate (Simmons School of Ed & HD),Simmons School of Ed & HD,319G4143,8,TX,NULL,,2019/2020
Dallas,7500,Graduate (The Guildhall),The Guildhall,319G4143,8,TX,NULL,08/05/2018,2018/2019
Dallas,99999,Undergraduate (All),All,319G4143,50,TX,NULL,08/05/2018,2018/2019
Bethany,99999,All,All,31000136,99999,OK,NULL,09/05/2012,NULL
Manchester,7500,All,All,31805029,99999,NH,NULL,,2018/2019
Ashland,7230,All,All,11932137,100,OR,,,NULL
Cedar City,99999,All,All,11000144,99999,UT,NULL,,NULL
Bennington,3500,Undergraduate,College of Liberal Arts,34001545,20,VT,NULL,,NULL
Buena Vista,5000,Undergraduate,All,31816946,200,VA,NULL,09/05/2012,NULL
Central,4000,All,All,31005440,99999,SC,,,
Fort Myers,3000,Undergraduate,All,31840010,100,FL,Fort Myers,,NULL
Port Charlotte,99999,Undergraduate,All,24201110,99999,FL,,,
Tampa,3000,Undergraduate,All,31840110,100,FL,Tampa,,NULL
Memphis,1500,Undergraduate,All,14814042,2,TN,Macon Cove,,
Memphis,1500,Undergraduate,All,14814142,2,TN,Memphis,,NULL
Waxahachie,99999,All,All,31011643,99999,TX,NULL,,NULL
Bethany,2000,Undergraduate,All,31001236,10,OK,NULL,11/05/2012,NULL
Midwest City,2000,Undergraduate,All,21811036,99999,OK,,,NULL
Phoenix,99999,Undergraduate,College,31001403,99999,AZ,NULL,07/05/2012,NULL
Wichita,2000,All,All,31805716,99999,KS,NULL,11/05/2012,NULL
Georgetown,9550,Undergraduate,All,31012443,99999,TX,NULL,,2019/2020
Louisville,5000,Graduate,School of Applied Behavior Analysis,31000617,99999,KY,NULL,,2019/2020
Louisville,5000,Graduate,School of Business/Communications,31000617,99999,KY,NULL,,2019/2020
Louisville,2000,Graduate,School of Education,31000617,100,KY,NULL,11/05/2012,NULL
Louisville,2000,Doctoral (School of Education),School of Education,31000617,100,KY,NULL,11/05/2012,NULL
Louisville,2000,Graduate (School of Nursing),School of Nursing,31000617,100,KY,NULL,11/05/2012,NULL
Louisville,2000,Graduate (School of Occupational Therapy),School of Occupational Therapy,31000617,100,KY,NULL,11/05/2012,NULL
Louisville,2000,Graduate,School of Psychology,31000617,100,KY,NULL,11/05/2012,NULL
Louisville,2000,Doctoral (School of Psychology),School of Psychology,31000617,100,KY,NULL,11/05/2012,NULL
Louisville,2000,Graduate (School of Social Work),School of Social Work,31000617,100,KY,NULL,11/05/2012,NULL
Louisville,2500,Undergraduate (All),All,31000617,250,KY,NULL,11/05/2012,NULL
Tulsa,1500,Undergraduate,All,24928436,99999,OK,,,
Lexington,8500,All,All,24922417,99999,KY,Lexington,,NULL
Louisville,8500,All,All,24921417,99999,KY,NULL,,NULL
Spring Arbor,3000,Undergraduate,All,31001922,100,MI,,,NULL
Spring Arbor,4000,Graduate,All,31001922,100,MI,,,NULL
Mobile,99999,Graduate,All,31000801,100,AL,Mobile,,NULL
St. Johnsbury,2500,All,School of Arts Sciences & Professional Studies,31013045,10,VT,St. Johnsbury Campus,11/05/2012,NULL
Houston,1500,All (School of Human Services),All,21038643,10,TX,,,NULL
Wilmington,2500,All,School of Arts Sciences & Professional Studies,31000908,10,DE,,,
N. Charleston,2500,All,School of Arts Sciences & Professional Studies,31001240,10,SC,,,
Milwaukee,2500,All,School of Arts Sciences & Professional Studies,31011449,10,WI,,,
Manchester,2500,All,School of Arts Sciences & Professional Studies,31050029,10,NH,Manchester Campus,11/05/2012,NULL
Tampa,3000,All,All,31057710,10,FL,,,NULL
Springfield,2500,All,School of Health Sciences & Rehabilitation Studies,31921121,10,MA,Springfield Campus,11/05/2012,NULL
Springfield,2500,All,School of Arts Science & Professional Studies,31921121,10,MA,Springfield Campus,11/05/2012,NULL
Springfield,8586,Graduate,All,34902413,99999,IL,,,NULL
Springfield,5992,Doctoral (College of Education),College of Education,34902413,99999,IL,,,NULL
Springfield,3563,Undergraduate,All,34902413,99999,IL,,,NULL
Springfield,10736,Doctoral (College of Business),College of Business,34902413,99999,IL,,,NULL
Inglewood,2500,All,School of Arts Sciences & Professional Studies,31060105,10,CA,Los Angeles Campus,11/05/2012,NULL
Springfield,2500,All,School of Health & Recreation,31921121,10,MA,Springfield Campus,11/05/2012,NULL
San Diego,2500,All,School of Arts Sciences & Professional Studies,31009205,10,CA,San Diego Campus,11/05/2012,
Springfield,5000,All,All,14914421,99999,MA,,,
Davenport,5000,Undergraduate (St Ambrose & ACCEL-College of Professional Studies),St Ambrose & ACCEL-College of Professional Studies,31001615,250,IA,,,NULL
Davenport,2750,Doctoral (St Ambrose & ACCEL-College of Professional Studies),St Ambrose & ACCEL-College of Professional Studies,31001615,25,IA,,,NULL
Davenport,2750,Graduate (St Ambrose & ACCEL-College of Professional Studies),St Ambrose & ACCEL-College of Professional Studies,31001615,150,IA,,,NULL
Laurinburg,5000,Undergraduate,All,31012633,500,NC,NULL,,NULL
St. Bonaventure,6000,Undergraduate,All,31303732,25,NY,NULL,09/05/2012,NULL
St. Bonaventure,6000,Graduate,All,31303732,10,NY,NULL,09/05/2012,NULL
St. Catharine,2000,All,All,31923117,15,KY,,,NULL
Saint Paul,10000,Undergraduate,All,31909123,99999,MN,NULL,,NULL
Saint Paul,8500,Graduate,All,31909123,99999,MN,NULL,,NULL
Minneapolis,10000,Undergraduate,All,31911123,99999,MN,Minneapolis,,NULL
Minneapolis,8500,Graduate,All,31911123,99999,MN,Minneapolis,,NULL
Austin,10000,All,All,319M1143,250,TX,Austin,,2017/2018
Shawnee,4000,Undergraduate,College of Arts & Sciences,31944036,999999,OK,Shawnee,12/05/2014,NULL
Fenton,99999,"RT, OTA, PTA",All,99999,,,
St. Louis,2000,Undergraduate,All,24946025,99999,MO,NULL,,NULL
St. Louis,30000,All,Professional,31600925,5,MO,St. Louis,,NULL
Sioux City,99999,All,All,32840015,99999,IA,,02/04/2012,NULL
St. Mary's City,6280,Undergraduate,College,11100520,99999,MD,,,NULL
San Antonio,99999,Undergraduate,All,31009743,5000,TX,,02/05/2012,NULL
Cypress,99999,Doctoral,College of Business Administration,31008705,99999,CA,,,
San Antonio,99999,Graduate,All,31009743,5000,TX,,02/05/2012,NULL
San Antonio,99999,Law,School of Law,31009743,5000,TX,,02/05/2012,NULL
De Pere,8500,Undergraduate,All,31001449,100,WI,NULL,,NULL
Northfield,11600,Undergraduate,All,31001423,25,MN,NULL,,2017/2018
Staten Island,99999,Undergraduate,All,32036132,99999,NY,,,
Flushing,99999,Undergraduate,All,32838132,99999,NY,Queens Campus,,NULL
Sparkill,99999,Undergraduate,All,31996132,99999,NY,NULL,,NULL
Sparkill,99999,Graduate,All,31996132,99999,NY,NULL,,NULL
Miami Gardens,9300,J.D/Doctoral,School of Law,31814110,20,FL,,,NULL
Bridgeport,2211,Undergraduate,Nursing,32809207,5,CT,NULL,,
Bridgeport,2211,Undergraduate,Medical Assisting,32809207,5,CT,NULL,,
Bridgeport,2211,Undergraduate,Radiography,32809207,5,CT,NULL,,
Bridgeport,2211,Undergraduate,General Studies,32809207,5,CT,NULL,,
Stanford,10000,Undergraduate,All,31121005,99999,CA,,,
Stanford,21000,Graduate (MBA & Masters),Graduate School of Business,31121005,99999,CA,,,
Stanford,18000,Graduate,School of Engineering,31121005,99999,CA,,,
Stanford,16000,Graduate/Doctoral,School of EE and ES,31121005,99999,CA,,,
Stanford,13500,Doctoral,School of Medicine,31121005,99999,CA,,,
Stanford,6000,Graduate,School of H & S,31121005,99999,CA,,,
Stanford,16000,Doctoral,School of H & S,31121005,99999,CA,,,
Stanford,13500,Graduate (MD&Master),School of Medicine,31121005,99999,CA,,,
Stanford,18000,Doctoral,School of Engineering,31121005,99999,CA,,,
Stanford,6000,Graduate,Graduate School of Education,31121005,99999,CA,,,
Stanford,12000,Doctoral,School of Education,31121005,99999,CA,,,
Stanford,99999,Graduate JD,Law School,31121005,99999,CA,,,
Columbia,10000,Undergraduate,All,31201925,30,MO,NULL,,2019/2020
Sterling,99999,Undergraduate,All,31001716,99999,KS,NULL,09/05/2012,NULL
Craftsbury Common,7500,Undergraduate,All,34001845,10,VT,Craftsbury Common,,NULL
Deland,11450,Undergraduate,All,31804110,200,FL,,,
Deland,6000,Graduate,Executive MBA,31804110,10,FL,,,
Boise,10000,All,All,24800012,1000,ID,Boise,,NULL
Salt Lake City,10000,All,All,31940744,1000,UT,Murray/Salt Lake,,NULL
Salt Lake City,1250,Graduate,All,24904144,500,UT,Salt Lake,,NULL
Hoboken,16000,Undergraduate,All,31004030,99999,NJ,NULL,,NULL
Hoboken,9600,Graduate,All,31004030,99999,NJ,NULL,,NULL
Hoboken,9600,Doctoral,All,31004030,99999,NJ,NULL,,NULL
Logan,10000,All,College,31940444,1000,UT,Logan,,NULL
Ogden,10000,Undergraduate,All,31940244,1000,UT,Ogden,02/05/2016,2016/2017
Orem,10000,All,All,31940544,1000,UT,Orem,,NULL
Stevenson,99999,All,All,31003620,99999,MD,,01/05/2012,NULL
Easton,9971.6,Undergraduate,All,31903121,99999,MA,NULL,,2019/2020
Stony Brook,8200,Doctoral,Medical,11994132,99999,NY,NULL,10/05/2012,NULL
Stony Brook,7590,Doctoral (Dental School),Dental School,11994132,99999,NY,NULL,10/05/2012,NULL
Falls Church,99999,Undergraduate (School of Computer Information System),School of Computer Information System,21804146,99999,VA,Woodbridge,09/04/2012,NULL
Falls Church,99999,Undergraduate,School of Culinary Arts & Hospitality,21804146,99999,VA,Woodbridge,09/04/2012,NULL
Falls Church,99999,Undergraduate (School of Business Admin),School of Business Admin,21804146,99999,VA,Woodbridge,09/04/2012,NULL
Falls Church,99999,Undergraduate (School of Health Science),School of Health Science,21804146,99999,VA,Woodbridge,,NULL
Falls Church,99999,Undergraduate (School of Arts & Science),School of Arts & Science,21804146,99999,VA,Woodbridge,09/04/2012,NULL
Falls Church,99999,Graduate,All,21804146,99999,VA,Woodbridge,09/04/2012,NULL
Baltimore,99999,Undergraduate,School of Culinary & Hospitality,21000120,99999,MD,Baltimore Campus,09/04/2012,NULL
Baltimore,99999,Undergraduate,School of Arts & Sciences,21000120,99999,MD,Baltimore Campus,09/04/2012,NULL
Baltimore,99999,Graduate,All,21000120,99999,MD,Baltimore Campus,09/04/2012,NULL
Falls Church,2000,Undergraduate (School of Nursing),School of Nursing,21803146,99999,VA,Falls Church Campus,09/04/2012,NULL
Falls Church,2000,Undergraduate (School of Nursing),School of Nursing,21804146,99999,VA,Falls Church Campus,09/04/2012,NULL
Newark,5000,All,All,21001408,99999,NJ,Christina Campus,,NULL
Irving,99999,All,All,21041043,99999,TX,,,
Houston,99999,All,All,21041643,99999,TX,,,
Houston,99999,All,All,21042043,99999,TX,,,
Dallas,99999,All,All,21042643,99999,TX,North Dallas Campus,,
Lawrenceville,99999,All,All,21800130,99999,NJ,Lawrenceville Campus,,NULL
Piscataway,5000,All,All,21800230,99999,NJ,Piscataway Campus,,NULL
Willingboro,99999,All,All,21800330,99999,NJ,Willingboro Campus,,NULL
Greensboro,99999,All,All,21904833,99999,NC,Greensboro Campus,,NULL
Huntersville,99999,All,All,21904933,99999,NC,Huntersville Campus,,NULL
Columbus,5000,All,All,249H1435,99999,OH,,,
Newark,99999,All,All,31001408,99999,DE,,,
Cherry Hill,99999,All,All,31810030,99999,NJ,,,
Willingboro,5000,All,All,31810130,99999,NJ,,,
Piscataway,99999,All,All,21800230,99999,NJ,,,
Piscataway,5000,All,All,31810330,99999,NJ,,,
Sunnyvale,99999,All,All,21804405,99999,CA,Sunnyvale,09/05/2012,NULL
Albuqurque,900,All,All,24911431,99999,NM,,,NULL
North Hollywood,99999,All,All,21114105,99999,CA,Hollywood,09/05/2012,NULL
Atlanta,99999,All,All,21000311,99999,GA,,,
Austin,99999,All,All,21039843,99999,TX,,,
Santa Ana,99999,All,All,21801905,99999,CA,Orange County,09/05/2012,NULL
San Diego,99999,Undergraduate,All,21112105,99999,CA,San Diego,09/05/2012,NULL
Universal City,99999,All,All,21116105,99999,CA,,,
Tampa,99999,All,All,21962110,99999,FL,,,
Scott Depot,99999,All,All,21913348,99999,WV,Teays Valley Campus,,NULL
Memphis,99999,All,All,21900242,99999,TN,Thousand Oaks Campus,,NULL
Virginia Beach,99999,All,All,21805446,99999,VA,,,
Warrendale,99999,All,All,21941438,99999,PA,Warrendale Campus,,NULL
Washington,99999,All,All,21912109,99999,DC,Washington Campus,,NULL
Baltimore,99999,All,All,21902720,99999,MD,,,
Woodbridge,99999,All,All,21954546,99999,VA,Woodbridge Campus,,NULL
Boston,25000,Undergraduate,All,31815121,150,MA,NULL,,NULL
Boston,28000,All,All,31815221,35,MA,Law School,11/04/2019,2019/2020
Louisville,8500,All,All,21917417,99999,KY,NULL,,NULL
Ft Knox,8500,All,All,21920117,99999,KY,Ft KnoxCampus,,NULL
Chicago,3000,All,College of Nursing,31900123,5,IL,NULL,,NULL
Chicago,500,Doctoral,The Graduate College,31900123,1,IL,NULL,,NULL
Lexington,8500,All,All,21921117,99999,KY,LexingtonCampus,,NULL
Louisville,8000,All,All,21919117,99999,KY,LouisvilleCampus,,NULL
Louisville,8500,Graduate,All,21919117,99999,KY,LouisvilleCampus,,NULL
Louisville,2000,Doctoral,All,21919117,99999,KY,LouisvilleCampus,,NULL
Buffalo,800,Undergraduate,"Schools of Natural & Social Sciences, Education, Professions,11304632,"1300 Elmwood Avenue,,
Buffalo,700,Graduate,"Schools of Natural & Social Sciences, Education, Professions,11304632,"1300 Elmwood Avenue,,
Plattsburgh,99999,Undergraduate,All,13945332,99999,NY,at Plattsburgh,,NULL
Troy,99999,Doctoral,Esteves School of Education,319C8132,99999,NY,NULL,10/05/2018,2018/2019
Troy,99999,Graduate,School of Management,319C8132,99999,NY,NULL,10/05/2018,2018/2019
Akron,99999,All,All,11965135,20,OH,,,NULL
Tucson,13000,Undergraduate,All,11903103,600,AZ,NULL,12/04/2012,- Please make a selection -
Tucson,13000,Graduate,All,11903103,200,AZ,Tucson,12/04/2012,2016/2017
Tucson,13000,Doctoral,All,11903103,200,AZ,Tucson,12/04/2012,- Please make a selection -
Findlay,10100,All,All,31944135,99999,OH,NULL,,2017/2018
Orono,8500,All,All,11000619,13,ME,,,
Orono,2000,Doctoral,All,11000619,1,ME,,,
Orono,6000,Undergraduate,All,11000619,16,ME,,,
Missoula,99999,All,All,11800126,99999,MT,Missoula,,NULL
Norman,99999,All,University College,11801136,99999,OK,,,
Scranton,99999,All,All,31978138,99999,PA,NULL,11/05/2012,NULL
Tampa,3500,Graduate (Business & Nursing Education),Business & Nursing Education,31954110,99999,FL,NULL,,2019/2020
Tampa,10000,Undergraduate (Traditional),Traditional,31954110,99999,FL,NULL,,
Tampa,2000,Undergraduate (Continuing Studies),Continuing Studies,31954110,99999,FL,NULL,,
Tampa,3500,Graduate (Executive MBA),Executive MBA,31954110,99999,FL,NULL,,
Tampa,3500,Graduate (MFA),MFA,31954110,99999,FL,NULL,,
Knoxville,10000,Graduate,Business Administration,11802042,10,TN,,,
Arlington,2000,All,All,11000643,10,TX,Arlington,,NULL
Austin,5000,Undergraduate,All,11029843,25,TX,Austin,05/04/2012,NULL
Santa Monica,99999,Undergraduate,All,21802005,99999,CA,Los Angeles,09/05/2012,NULL
Sacramento,99999,All,All,21112705,99999,CA,Sacramento,09/05/2012,NULL
San Francisco,99999,All,All,21803605,99999,CA,San Francisco,09/05/2012,NULL
Charlotte,99999,All,All,24909433,99999,NC,,,
Cincinnati,5000,Undergraduate,All,24009235,99999,OH,Cincinnati,,NULL
Dallas,99999,All,All,249H6143,99999,TX,,,
Jacksonville,99999,All,All,21830110,99999,FL,Jacksonville,02/05/2012,NULL
Henderson,99999,All,All,24902428,99999,NV,Las Vegas,09/05/2012,NULL
Novi,99999,All,All,21114522,99999,MI,,,
New York,99999,All,All,24918432,99999,NY,New York City,02/05/2012,NULL
Cincinnati,99999,All,All,21853235,99999,OH,Ohio - Cincinnati,09/05/2012,NULL
Philadelphia,99999,All,All,24921438,99999,PA,Philadelphia,02/05/2012,NULL
Phoenix,99999,All,All,21004903,99999,AZ,Phoenix,09/05/2012,NULL
Pittsburgh,99999,Undergraduate,All,24905438,99999,PA,Pittsburgh,02/05/2012,NULL
Portland,99999,All,All,24000137,99999,OR,Portland,09/05/2012,NULL
Draper,99999,All,All,21001544,99999,UT,Salt Lake City,09/05/2012,NULL
Austin,99999,All,All,21041343,99999,TX,,,
Plano,99999,All,All,21041543,99999,TX,,,
Cedar Hill,99999,All,All,21042543,99999,TX,Cedar Hills Campus,,NULL
Orlando,99999,All,All,21061210,99999,FL,Orlando East Campus,,NULL
Maitland,99999,All,All,21061310,99999,FL,,,
Cherry Hill,5000,All,All,21800030,99999,NJ,Cherry Hill Campus,,NULL
Little Rock,99999,All,All,21814104,99999,AR,Little Rock Campus (STR),,NULL
Morrisville,99999,All,All,21901133,99999,NC,Research Triangle Park Campus,,NULL
Concord,99999,All,All,21902133,99999,NC,North Charlotte Campus,,NULL
Garner,99999,All,All,21905033,99999,NC,South Raleigh Campus,,NULL
Columbus,99999,All,All,21917711,99999,GA,Columbus GA Campus,,NULL
Birmingham,99999,All,All,21956301,99999,AL,,,
Huntsville,99999,All,All,21958301,99999,AL,Huntsville Campus,,NULL
Alexandria,99999,All,All,21953646,99999,VA,Alexandria Campus,,NULL
Center Valley,99999,All,All,219B6238,99999,PA,,,
Millersville,99999,All,All,21902620,99999,MD,Anne Arundel Campus,,NULL
Arlington,99999,All,All,21953746,99999,VA,Arlington Campus,,NULL
Augusta,99999,All,All,21904611,99999,GA,Augusta Campus,,NULL
Jacksonville,99999,All,All,219A6110,99999,FL,,,
Miami,99999,All,All,219C6110,99999,FL,Brickell Campus,,NULL
Philadelphia,99999,All,All,219B4238,99999,PA,,,
Atlanta,99999,All,All,21901111,99999,GA,,,
North Charleston,99999,All,All,21904140,99999,SC,Charleston Campus,,NULL
Chesapeake,99999,All,All,21953846,99999,VA,,,
Midlothian,99999,All,All,21953946,99999,VA,,,
Atlanta,99999,All,All,21902111,99999,GA,,,
Columbia,99999,All,All,21904240,99999,SC,,,
Coral Springs,99999,All,All,219B5110,99999,FL,Coral Springs Campus,,NULL
Springfield,99999,All,All,219B4138,99999,PA,,,
Miami,99999,All,All,219C2110,99999,FL,,,
Douglasville,99999,All,All,21904211,99999,GA,Douglasville Campus,,NULL
Fredericksburg,99999,All,All,21954046,99999,VA,,,
Fort Lauderdale,99999,All,All,219B4110,99999,FL,Ft. Lauderdale Campus,,NULL
Greenville,99999,All,All,21904340,99999,SC,,,
Glen Allen,99999,All,All,21954146,99999,VA,Henrico Campus,,NULL
Jackson,99999,All,All,21900124,99999,MS,,,
King of Prussia,99999,All,All,219B2538,99999,PA,,,
Knoxville,99999,All,All,21900442,99999,TN,Knoxville Campus,,NULL
Lithonia,99999,All,All,21904311,99999,GA,,,
Ashburn,99999,All,All,21954246,99999,VA,Loudon Campus,,NULL
Trevose,99999,All,All,219B5138,99999,PA,,,
Manassas,99999,All,All,21954346,99999,VA,Manassas Campus,,NULL
Metairie,99999,All,All,21001518,99999,LA,,,
Miramar,99999,All,All,219C1110,99999,FL,Miramar Campus,,NULL
Morrow,99999,All,All,21903111,99999,GA,,,
Nashville,99999,All,All,21900142,99999,TN,Nashville Campus,,NULL
Newport News,99999,All,All,21954446,99999,VA,,,
Raleigh,99999,All,All,21904133,99999,NC,North Raleigh Campus,,NULL
